Temps,Altitude_Radar_m,Niveau_Reservoir_L,Indice_NDVI,Masse_Actuelle_kg
0.0,-0.6,100.0,0.8,15.0
0.0,-0.6,100.0,0.8,15.0
0.01,-0.6,100.0,0.8,15.0
0.02,-0.6,100.0,0.8,15.0
0.02,-0.6,100.0,0.8,15.0
0.03,-0.6,100.0,0.8,15.0
0.03,-0.6,100.0,0.8,15.0
0.04,-0.6,100.0,0.8,15.0
0.04,-0.6,100.0,0.8,15.0
0.05,-0.6,100.0,0.8,15.0
0.05,-0.61,100.0,0.8,15.0
0.06,-0.61,100.0,0.8,15.0
0.06,-0.61,100.0,0.8,15.0
0.07,-0.61,100.0,0.8,15.0
0.07,-0.61,100.0,0.8,15.0
0.08,-0.61,100.0,0.8,15.0
0.08,-0.61,100.0,0.8,15.0
0.09,-0.62,100.0,0.8,15.0
0.09,-0.62,100.0,0.8,15.0
0.1,-0.62,100.0,0.8,15.0
0.1,-0.62,100.0,0.8,15.0
0.11,-0.62,100.0,0.8,15.0
0.11,-0.63,100.0,0.8,15.0
0.12,-0.63,100.0,0.8,15.0
0.13,-0.63,100.0,0.8,15.0
0.13,-0.63,100.0,0.8,15.0
0.14,-0.64,100.0,0.8,15.0
0.14,-0.64,100.0,0.8,15.0
0.15,-0.64,100.0,0.8,15.0
0.15,-0.65,100.0,0.8,15.0
0.16,-0.65,100.0,0.8,15.0
0.16,-0.65,100.0,0.8,15.0
0.17,-0.66,100.0,0.8,15.0
0.17,-0.66,100.0,0.8,15.0
0.18,-0.66,100.0,0.8,15.0
0.18,-0.67,100.0,0.8,15.0
0.19,-0.67,100.0,0.8,15.0
0.19,-0.67,100.0,0.8,15.0
0.2,-0.68,100.0,0.8,15.0
0.2,-0.68,100.0,0.8,15.0
0.21,-0.69,100.0,0.8,15.0
0.21,-0.69,100.0,0.8,15.0
0.22,-0.7,100.0,0.8,15.0
0.22,-0.7,100.0,0.8,15.0
0.23,-0.7,100.0,0.8,15.0
0.23,-0.71,100.0,0.8,15.0
0.24,-0.71,100.0,0.8,15.0
0.24,-0.72,100.0,0.8,15.0
0.25,-0.72,100.0,0.8,15.0
0.25,-0.73,100.0,0.8,15.0
0.26,-0.74,100.0,0.8,15.0
0.26,-0.74,100.0,0.8,15.0
0.27,-0.74,100.0,0.8,15.0
0.27,-0.74,100.0,0.8,15.0
0.28,-0.74,100.0,0.8,15.0
0.28,-0.74,100.0,0.8,15.0
0.29,-0.74,100.0,0.8,15.0
0.29,-0.74,100.0,0.8,15.0
0.3,-0.74,100.0,0.8,15.0
0.3,-0.74,100.0,0.8,15.0
0.31,-0.74,100.0,0.8,15.0
0.31,-0.74,100.0,0.8,15.0
0.32,-0.74,100.0,0.8,15.0
0.32,-0.74,100.0,0.8,15.0
0.33,-0.74,100.0,0.8,15.0
0.33,-0.74,100.0,0.8,15.0
0.34,-0.74,100.0,0.8,15.0
0.35,-0.74,100.0,0.8,15.0
0.35,-0.74,100.0,0.8,15.0
0.36,-0.74,100.0,0.8,15.0
0.36,-0.74,100.0,0.8,15.0
0.37,-0.74,100.0,0.8,15.0
0.37,-0.74,100.0,0.8,15.0
0.38,-0.74,100.0,0.8,15.0
0.38,-0.74,100.0,0.8,15.0
0.39,-0.74,100.0,0.8,15.0
0.39,-0.74,100.0,0.8,15.0
0.4,-0.74,100.0,0.8,15.0
0.4,-0.74,100.0,0.8,15.0
0.41,-0.74,100.0,0.8,15.0
0.41,-0.74,100.0,0.8,15.0
0.42,-0.74,100.0,0.8,15.0
0.42,-0.74,100.0,0.8,15.0
0.43,-0.74,100.0,0.8,15.0
0.43,-0.74,100.0,0.8,15.0
0.44,-0.74,100.0,0.8,15.0
0.44,-0.74,100.0,0.8,15.0
0.45,-0.74,100.0,0.8,15.0
0.46,-0.74,100.0,0.8,15.0
0.46,-0.74,100.0,0.8,15.0
0.46,-0.74,100.0,0.8,15.0
0.47,-0.74,100.0,0.8,15.0
0.48,-0.74,100.0,0.8,15.0
0.48,-0.74,100.0,0.8,15.0
0.49,-0.74,100.0,0.8,15.0
0.49,-0.74,100.0,0.8,15.0
0.5,-0.74,100.0,0.8,15.0
0.5,-0.74,100.0,0.8,15.0
0.51,-0.74,100.0,0.8,15.0
0.51,-0.74,100.0,0.8,15.0
0.52,-0.74,100.0,0.8,15.0
0.52,-0.74,100.0,0.8,15.0
0.53,-0.74,100.0,0.8,15.0
0.53,-0.74,100.0,0.8,15.0
0.54,-0.74,100.0,0.8,15.0
0.54,-0.74,100.0,0.8,15.0
0.54,-0.74,100.0,0.8,15.0
0.55,-0.74,100.0,0.8,15.0
0.56,-0.74,100.0,0.8,15.0
0.56,-0.74,100.0,0.8,15.0
0.57,-0.74,100.0,0.8,15.0
0.58,-0.74,100.0,0.8,15.0
0.58,-0.74,100.0,0.8,15.0
0.59,-0.74,100.0,0.8,15.0
0.59,-0.74,100.0,0.8,15.0
