Temps,Altitude_m,Masse_kg,NDVI
0.0,0.4,15.0,0.35
0.0,0.4,15.0,0.35
0.01,0.4,15.0,0.35
0.01,0.4,15.0,0.35
0.02,0.4,15.0,0.35
0.02,0.4,15.0,0.35
0.03,0.4,15.0,0.35
0.03,0.4,15.0,0.35
0.04,0.4,15.0,0.35
0.04,0.39,15.0,0.35
0.05,0.39,15.0,0.35
0.05,0.39,15.0,0.35
0.05,0.39,15.0,0.35
0.06,0.39,15.0,0.35
0.06,0.39,15.0,0.35
0.07,0.39,15.0,0.35
0.07,0.38,15.0,0.35
0.08,0.38,15.0,0.35
0.08,0.38,15.0,0.35
0.09,0.38,15.0,0.35
0.09,0.38,15.0,0.35
0.09,0.37,15.0,0.35
0.1,0.37,15.0,0.35
0.1,0.37,15.0,0.35
0.11,0.36,15.0,0.35
0.11,0.36,15.0,0.35
0.12,0.36,15.0,0.35
0.12,0.36,15.0,0.35
0.13,0.35,15.0,0.35
0.13,0.35,15.0,0.35
0.14,0.35,15.0,0.35
0.14,0.34,15.0,0.35
0.14,0.34,15.0,0.35
0.15,0.33,15.0,0.35
0.15,0.33,15.0,0.35
0.16,0.33,15.0,0.35
0.16,0.32,15.0,0.35
0.17,0.32,15.0,0.35
0.17,0.31,15.0,0.35
0.18,0.31,15.0,0.35
0.18,0.3,15.0,0.35
0.18,0.3,15.0,0.35
0.19,0.29,15.0,0.35
0.19,0.29,15.0,0.35
0.2,0.28,15.0,0.35
0.2,0.28,15.0,0.35
0.21,0.27,15.0,0.35
0.21,0.27,15.0,0.35
0.22,0.26,15.0,0.35
0.22,0.26,15.0,0.35
0.23,0.26,15.0,0.35
0.23,0.26,15.0,0.35
0.23,0.26,15.0,0.35
0.24,0.26,15.0,0.35
0.24,0.26,15.0,0.35
0.25,0.26,15.0,0.35
0.25,0.26,15.0,0.35
0.26,0.26,15.0,0.35
0.26,0.26,15.0,0.35
0.27,0.26,15.0,0.35
0.27,0.26,15.0,0.35
0.27,0.26,15.0,0.35
0.28,0.26,15.0,0.35
0.28,0.26,15.0,0.35
0.29,0.26,15.0,0.35
0.29,0.26,15.0,0.35
0.3,0.26,15.0,0.35
0.3,0.26,15.0,0.35
0.31,0.26,15.0,0.35
0.31,0.26,15.0,0.35
0.32,0.26,15.0,0.35
0.32,0.26,15.0,0.35
0.32,0.26,15.0,0.35
0.33,0.26,15.0,0.35
0.33,0.26,15.0,0.35
0.34,0.26,15.0,0.35
0.34,0.26,15.0,0.35
0.36,0.26,15.0,0.35
0.36,0.26,15.0,0.35
0.37,0.26,15.0,0.35
0.37,0.26,15.0,0.35
0.37,0.26,15.0,0.35
0.38,0.26,15.0,0.35
0.38,0.26,15.0,0.35
0.39,0.26,15.0,0.35
0.39,0.26,15.0,0.35
0.4,0.26,15.0,0.35
0.4,0.26,15.0,0.35
0.41,0.26,15.0,0.35
0.41,0.26,15.0,0.35
0.41,0.26,15.0,0.35
0.42,0.26,15.0,0.35
0.42,0.26,15.0,0.35
0.43,0.26,15.0,0.35
0.43,0.26,15.0,0.35
0.44,0.26,15.0,0.35
0.44,0.26,15.0,0.35
0.45,0.26,15.0,0.35
0.45,0.26,15.0,0.35
0.46,0.26,15.0,0.35
0.46,0.26,15.0,0.35
0.46,0.26,15.0,0.35
0.47,0.26,15.0,0.35
0.47,0.26,15.0,0.35
0.48,0.26,15.0,0.35
0.48,0.26,15.0,0.35
0.49,0.26,15.0,0.35
0.49,0.26,15.0,0.35
0.5,0.26,15.0,0.35
0.5,0.26,15.0,0.35
0.51,0.26,15.0,0.35
0.51,0.26,15.0,0.35
0.51,0.26,15.0,0.35
0.52,0.26,15.0,0.35
0.52,0.26,15.0,0.35
0.53,0.26,15.0,0.35
0.53,0.26,15.0,0.35
0.54,0.26,15.0,0.35
0.54,0.26,15.0,0.35
0.55,0.26,15.0,0.35
0.55,0.26,15.0,0.35
0.56,0.26,15.0,0.35
0.56,0.26,15.0,0.35
0.56,0.26,15.0,0.35
0.57,0.26,15.0,0.35
0.57,0.26,15.0,0.35
0.58,0.26,15.0,0.35
0.58,0.26,15.0,0.35
0.59,0.26,15.0,0.35
0.59,0.26,15.0,0.35
0.6,0.26,15.0,0.35
0.6,0.26,15.0,0.35
0.6,0.26,15.0,0.35
0.61,0.26,15.0,0.35
0.61,0.26,15.0,0.35
0.62,0.26,15.0,0.35
0.62,0.26,15.0,0.35
0.63,0.26,15.0,0.35
0.63,0.26,15.0,0.35
0.64,0.26,15.0,0.35
0.64,0.26,15.0,0.35
0.65,0.26,15.0,0.35
0.65,0.26,15.0,0.35
0.65,0.26,15.0,0.35
0.66,0.26,15.0,0.35
0.66,0.26,15.0,0.35
0.67,0.26,15.0,0.35
0.67,0.26,15.0,0.35
0.68,0.26,15.0,0.35
0.68,0.26,15.0,0.35
0.69,0.26,15.0,0.35
0.69,0.26,15.0,0.35
0.69,0.26,15.0,0.35
0.7,0.26,15.0,0.35
0.7,0.26,15.0,0.35
0.71,0.26,15.0,0.35
0.71,0.26,15.0,0.35
0.72,0.26,15.0,0.35
0.72,0.26,15.0,0.35
0.73,0.26,15.0,0.35
0.73,0.26,15.0,0.35
0.74,0.26,15.0,0.35
0.74,0.26,15.0,0.35
0.75,0.26,15.0,0.35
0.75,0.26,15.0,0.35
0.75,0.26,15.0,0.35
0.76,0.26,15.0,0.35
0.76,0.26,15.0,0.35
0.77,0.26,15.0,0.35
0.77,0.26,15.0,0.35
0.78,0.26,15.0,0.35
0.78,0.26,15.0,0.35
0.79,0.26,15.0,0.35
0.79,0.26,15.0,0.35
0.8,0.26,15.0,0.35
0.8,0.26,15.0,0.35
0.8,0.26,15.0,0.35
0.81,0.26,15.0,0.35
0.81,0.26,15.0,0.35
0.82,0.26,15.0,0.35
0.82,0.26,15.0,0.35
0.83,0.26,15.0,0.35
0.83,0.26,15.0,0.35
0.84,0.26,15.0,0.35
0.84,0.26,15.0,0.35
0.85,0.26,15.0,0.35
0.85,0.26,15.0,0.35
0.85,0.26,15.0,0.35
0.86,0.26,15.0,0.35
0.86,0.26,15.0,0.35
0.87,0.26,15.0,0.35
0.87,0.26,15.0,0.35
0.88,0.26,15.0,0.35
0.88,0.26,15.0,0.35
0.89,0.26,15.0,0.35
0.89,0.26,15.0,0.35
0.89,0.26,15.0,0.35
0.9,0.26,15.0,0.35
0.9,0.26,15.0,0.35
0.91,0.26,15.0,0.35
0.91,0.26,15.0,0.35
0.92,0.26,15.0,0.35
0.92,0.26,15.0,0.35
0.93,0.26,15.0,0.35
0.93,0.26,15.0,0.35
0.94,0.26,15.0,0.35
0.94,0.26,15.0,0.35
0.94,0.26,15.0,0.35
0.95,0.26,15.0,0.35
0.95,0.26,15.0,0.35
0.96,0.26,15.0,0.35
0.96,0.26,15.0,0.35
0.97,0.26,15.0,0.35
0.97,0.26,15.0,0.35
0.98,0.26,15.0,0.35
0.98,0.26,15.0,0.35
0.99,0.26,15.0,0.35
0.99,0.26,15.0,0.35
0.99,0.26,15.0,0.35
1.0,0.26,15.0,0.35
1.0,0.26,15.0,0.35
1.01,0.26,15.0,0.35
1.01,0.26,15.0,0.35
1.02,0.26,15.0,0.35
1.02,0.26,15.0,0.35
1.03,0.26,15.0,0.35
1.03,0.26,15.0,0.35
1.03,0.26,15.0,0.35
1.04,0.26,15.0,0.35
1.04,0.26,15.0,0.35
1.05,0.26,15.0,0.35
