Temps,Altitude_m,Position_X,Position_Y,Masse_kg,Etat_Mission
0.0,0.4,-22.0,-4.5,15.0,WARMUP
0.01,0.4,-22.0,-4.5,15.0,WARMUP
0.02,0.4,-22.0,-4.5,15.0,WARMUP
0.02,0.4,-22.0,-4.5,15.0,WARMUP
0.03,0.4,-22.0,-4.5,15.0,WARMUP
0.03,0.4,-22.0,-4.5,15.0,WARMUP
0.04,0.4,-22.0,-4.5,15.0,WARMUP
0.05,0.4,-22.0,-4.5,15.0,WARMUP
0.05,0.4,-22.0,-4.5,15.0,WARMUP
0.06,0.39,-22.0,-4.5,15.0,WARMUP
0.06,0.39,-22.0,-4.5,15.0,WARMUP
0.07,0.39,-22.0,-4.5,15.0,WARMUP
0.08,0.39,-22.0,-4.5,15.0,WARMUP
0.08,0.39,-22.0,-4.5,15.0,WARMUP
0.09,0.39,-22.0,-4.5,15.0,WARMUP
0.1,0.39,-22.0,-4.5,15.0,WARMUP
0.1,0.38,-22.0,-4.5,15.0,WARMUP
0.11,0.38,-22.0,-4.5,15.0,WARMUP
0.11,0.38,-22.0,-4.5,15.0,WARMUP
0.12,0.38,-22.0,-4.5,15.0,WARMUP
0.12,0.38,-22.0,-4.5,15.0,WARMUP
0.13,0.37,-22.0,-4.5,15.0,WARMUP
0.14,0.37,-22.0,-4.5,15.0,WARMUP
0.14,0.37,-22.0,-4.5,15.0,WARMUP
0.15,0.36,-22.0,-4.5,15.0,WARMUP
0.15,0.36,-22.0,-4.5,15.0,WARMUP
0.16,0.36,-22.0,-4.5,15.0,WARMUP
0.16,0.36,-22.0,-4.5,15.0,WARMUP
0.17,0.35,-22.0,-4.5,15.0,WARMUP
0.18,0.35,-22.0,-4.5,15.0,WARMUP
0.18,0.35,-22.0,-4.5,15.0,WARMUP
0.19,0.34,-22.0,-4.5,15.0,WARMUP
0.19,0.34,-22.0,-4.5,15.0,WARMUP
0.2,0.33,-22.0,-4.5,15.0,WARMUP
0.2,0.33,-22.0,-4.5,15.0,WARMUP
0.21,0.33,-22.0,-4.5,15.0,WARMUP
0.22,0.32,-22.0,-4.5,15.0,WARMUP
